id,brands,car_model,types,desc,problems_cate,datetime,status,typical_problems
512489,奇瑞汽车,瑞虎5x,2017款 1.5T 自动 豪华型,奇瑞瑞虎5x驾驶位玻璃升降转向天窗异响,"D59,H72,H89,",2020-08-22,信息审核,"异响,门窗异响,天窗异响,"
512487,众泰汽车,众泰Z560,2017款 1.5T 手动 豪华型,众泰Z560启动噪音大 排气管歧管损坏,"H31,",2020-08-22,信息审核,"排气管异响,"
512485,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯起雾要求更换车灯,"H82,",2020-08-22,信息审核,"车灯不亮,"
512484,广汽本田,冠道,2017款 240TURBO CVT 两驱 豪华版,广汽本田冠道发动机故障灯亮消除故障灯未解决,"A34,A53,",2020-08-22,信息审核,"故障灯亮,喷油嘴故障,"
512483,一汽-大众,T-ROC探歌,2019款 230TSI DSG 两驱 进取型 国VI,一汽大众探歌大灯透镜有斑点和白雾,"H82,",2020-08-22,信息审核,"车灯不亮,"
512473,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L打开点火开关影音系统异响,"H134,",2020-08-22,信息审核,"影音系统故障,"
512471,江淮汽车,江淮iEV6E,2017款 iEV6E,江淮iEV6E售后服务网点少导致维修成本高,"O326,",2020-08-22,信息审核,"服务网点少,"
512470,上汽大众,威然,2020款 380TSI 尊贵版,上汽大众威然发动机无法启动方向机锁死,"A44,D57,",2020-08-22,信息审核,"无法启动,失灵,"
512460,东风本田,INSPIRE,2019款 260TURBO 精悦版 国V,东风本田INSPIRE低速状态加速时发动机异响,"A9,",2020-08-22,信息审核,"异响,"
512459,SWM斯威汽车,SWM斯威X7,2016款 1.8L 豪华型,斯威X7远程控制系统缴费后无法使用,"H155,",2020-08-22,信息审核,"车载互联故障,"
512458,福特（进口）,Ranger,2018款 3.2T DCi Wildtrak,进口福特Ranger发动机水箱及风扇故障,"A34,A37,A191,",2020-08-22,厂家受理,"故障灯亮,漏防冻液,冷却系统故障,"
512456,上汽集团,荣威550,2010款 1.8DVVT 手动 启悦版,上汽荣威550手刹柄断裂存在质量问题,"H168,",2020-08-22,信息审核,"部件开裂,"
512454,东风标致,标致3008,2013款 1.6T 自动 THP至尚版,东风标致3008行车电脑黑屏倒车影像无法使用,"H134,",2020-08-22,信息审核,"影音系统故障,"
512453,东风标致,标致206,2007款 1.4L 手动 跃动版,东风标致206转向以及喇叭失灵希望厂家处理,"D57,H151,",2020-08-22,信息审核,"失灵,喇叭故障,"
512452,长城汽车,WEY VV5,2020款 1.5T 两驱 智先锋,WEY VV5变速箱脱挡希望厂家处理问题,"B246,",2020-08-22,信息审核,"脱挡,"
512439,上汽通用五菱,五菱宏光V,2019款 1.5L 基本型 封窗车 国VI LAR,上汽通用五菱宏光V变速箱无法挂挡,"B20,",2020-08-22,处理反馈,"无法换挡,"
512436,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 臻选动感型,一汽大众奥迪A6L底盘异响维修未解决问题,"G56,",2020-08-22,信息审核,"底盘异响,"
512430,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408行驶中发动机熄火存在安全隐患,"A14,",2020-08-22,信息审核,"熄火,"
512424,江铃福特,全顺,2019款 2.0T 柴油 多功能商用车 短轴 中顶 6座 国VI,江铃福特全顺三元催化堵塞发动机漏机油,"A12,A191,",2020-08-22,信息审核,"漏油,冷却系统故障,"
512423,东风日产,天籁,2016款 2.0L XL 舒适版 改款,东风日产天籁发动机熄火后启动困难,"A44,",2020-08-22,信息审核,"无法启动,"
512416,一汽-大众,迈腾,2019款 280TSI DSG 舒适型 国VI,一汽大众迈腾发动机熄火存在质量问题,"A14,",2020-08-22,信息审核,"熄火,"
512408,奇瑞汽车,艾瑞泽GX,2018款 1.5T CVT 型色版 国V,奇瑞艾瑞泽GX发动机异响希望厂家处理,"A9,A255,",2020-08-22,信息审核,"异响,动力消失,"
512403,广汽菲克菲亚特,菲翔,2012款 1.4T 自动 畅享版,广汽菲亚特菲翔车内异味希望厂家处理,"H185,",2020-08-22,信息审核,"车内异味,"
512400,东风本田,竞瑞,2017款 1.5L CVT 豪华版,东风本田竞瑞大灯起雾进水存在质量问题,"H88,",2020-08-22,信息审核,"车灯进水,"
512397,一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速箱微动开关有故障,"B96,",2020-08-22,信息审核,"故障灯亮,"
512396,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机抖动 漏机油影响使用,"A12,A24,",2020-08-22,信息审核,"漏油,抖动,"
512390,北京奔驰,奔驰GLC,2019款 GLC 300 L 4MATIC 动感型 改款,北京奔驰GLC减震器断裂玻璃水渗漏,"H168,",2020-08-22,信息审核,"部件开裂,"
512382,奇瑞汽车,艾瑞泽GX,2018款 1.5T CVT 型色版 国V,奇瑞艾瑞泽GX中控屏幕花屏希望厂家处理,"H134,",2020-08-22,信息审核,"影音系统故障,"
512378,一汽-大众,速腾,2018款 280TSI 双离合 舒适型,一汽大众速腾发动机冷启动怠速不正常,"A35,H101,",2020-08-22,信息审核,"怠速不稳,空调问题,"
512372,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎有裂纹存在质量问题,"F100,",2020-08-22,信息审核,"开裂,"
512369,吉利新能源,帝豪新能源,2017款 EV300 精英型 三厢,吉利帝豪新能源充电机无法充电希望厂家处理,"H340,",2020-08-22,信息审核,"充电故障,"
512368,猎豹汽车,猎豹CS9,2018款 1.5T CVT 劲朗型,猎豹CS9刹车管爆裂底盘生锈 车身异响,"H79,H168,H15,",2020-08-22,信息审核,"车身生锈,部件开裂,车身异响,"
512367,长安汽车,长安CS55,2017款 1.5T 手动 炫色型,长安CS55怠速抖动希望厂家更换发动机,"A24,",2020-08-22,信息审核,"抖动,"
512360,吉利汽车,帝豪GL,2017款 1.3T 自动 尊贵型,吉利帝豪GL经销商维修后漆面生锈有色差,"I295,J300,",2020-08-22,信息审核,"不解决问题,修出新问题,"
512339,众泰汽车,大迈X7,2017款 1.8T 手动 豪华型,众泰大迈X7底盘和车身有大面积生锈现象	,"H79,",2020-08-22,信息审核,"车身生锈,"
512338,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 超豪型 红标,哈弗H6 Coupe前挡玻璃出现水纹状裂痕,"H113,",2020-08-22,处理反馈,"玻璃开裂,"
512329,东风日产,劲客,2020款 1.5L XE 手动 酷动版,东风日产劲客变速箱顿挫异响希望厂家处理,"B33,B19,",2020-08-22,信息审核,"异响,顿挫,"
512327,上汽大众,途观L新能源,2019款 430PHEV 混动豪华版,上汽大众途观L新能源转向失灵天窗漏水,"D57,H90,",2020-08-22,信息审核,"失灵,天窗漏水,"
512316,凯翼汽车,凯翼C3R,2015款 1.5L AMT 金钻版,凯翼C3R变速箱频繁跳挡要求免费维修,"B27,",2020-08-21,处理反馈,"跳挡,"
512313,北京现代,领动,2019款 1.5L CVT 智炫·精英型,北京现代领动漆面有色差希望厂家处理,"H201,",2020-08-21,信息审核,"车身有色差,"
512311,华晨中华,中华H3,2017款 1.5L 手动 豪华型,华晨中华H3汽油泵故障厂家不予质保,"H78,",2020-08-21,信息审核,"汽油泵故障,"
512310,一汽-大众,高尔夫,2016款 230TSI 自动 舒适型,一汽大众高尔夫机油压力调节阀渗油,"A12,N318,",2020-08-21,信息审核,"漏油,无零配件,"
512309,众泰汽车,众泰E200,2018款 飞鱼座,众泰E200无法提供售后服务欺骗消费者,"L314,O326,",2020-08-21,信息审核,"服务承诺不兑现,服务网点少,"
512304,广汽本田,缤智,2019款 220 TURBO CVT 精英版 国V,广汽本田缤智行驶过程中熄火启动困难,"A14,A44,",2020-08-21,信息审核,"熄火,无法启动,"
512300,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯有阴影希望厂家处理问题,"H82,",2020-08-21,信息审核,"车灯不亮,"
512296,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国V,一汽大众探岳购车时随车未提供保养手册,"O353,",2020-08-21,信息审核,"手续不齐,"
512295,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L后窗玻璃无缘无故爆裂,"H113,",2020-08-21,信息审核,"玻璃开裂,"
512288,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱打滑希望厂家质保,"B96,B84,",2020-08-21,信息审核,"故障灯亮,滑阀箱故障,"
512286,北京现代,领动插电混动,2019款 1.6L PHX 乐行版,北京现代领动插电混动电瓶亏电存在质量问题,"H146,",2020-08-21,信息审核,"电瓶故障,"
512284,一汽奔腾,奔腾X40,2017款 1.6L 自动 尊享型,一汽奔腾X40发动机抖动希望厂家处理,"A24,",2020-08-21,厂家受理,"抖动,"
